CommitHash,CommitMsg,CommitDate,CommitFileModifications,ModifiesJavaFile?
78c43faa45ccb48ac061494c048cde539180ff07,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/models/Note.java,MODIFY
78c43faa45ccb48ac061494c048cde539180ff07,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/models/NoteAdapter.java,MODIFY
78c43faa45ccb48ac061494c048cde539180ff07,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/utils/Constants.java,MODIFY
0c9ac6435ab79cb1fb5891c693ca3cf1ebf58f95,Federico Iosue,Federico Iosue,res/layout/note_layout.xml,MODIFY
0c9ac6435ab79cb1fb5891c693ca3cf1ebf58f95,Federico Iosue,Federico Iosue,res/values/colors.xml,MODIFY
0c9ac6435ab79cb1fb5891c693ca3cf1ebf58f95,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/ItemListFragment.java,MODIFY
7651bd04f9131f517a13e20d473177a42157b5b5,Federico Iosue,Federico Iosue,res/drawable/note_selector.xml,MODIFY
7651bd04f9131f517a13e20d473177a42157b5b5,Federico Iosue,Federico Iosue,res/layout/fragment_item_detail.xml,MODIFY
7651bd04f9131f517a13e20d473177a42157b5b5,Federico Iosue,Federico Iosue,res/layout/note_layout.xml,MODIFY
7651bd04f9131f517a13e20d473177a42157b5b5,Federico Iosue,Federico Iosue,res/values/colors.xml,MODIFY
7651bd04f9131f517a13e20d473177a42157b5b5,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/ItemDetailFragment.java,MODIFY
72fd97c8c422f4ab25a7e691472f9bac6b2956b6,Federico Iosue,Federico Iosue,res/layout/note_layout.xml,MODIFY
72fd97c8c422f4ab25a7e691472f9bac6b2956b6,Federico Iosue,Federico Iosue,res/menu/menu.xml,MODIFY
72fd97c8c422f4ab25a7e691472f9bac6b2956b6,Federico Iosue,Federico Iosue,res/values/strings.xml,MODIFY
72fd97c8c422f4ab25a7e691472f9bac6b2956b6,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/models/NoteAdapter.java,MODIFY
cfb6ddda9273895d8036a571660e4e56a4127cf2,Federico Iosue,Federico Iosue,res/layout/fragment_item_detail.xml,MODIFY
cfb6ddda9273895d8036a571660e4e56a4127cf2,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/ItemDetailFragment.java,MODIFY
cfb6ddda9273895d8036a571660e4e56a4127cf2,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/models/NoteAdapter.java,MODIFY
cfb6ddda9273895d8036a571660e4e56a4127cf2,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/utils/Constants.java,MODIFY
3c32d74389e4e7031261fd1c9a3ad9f2c8f18cf1,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/models/NoteAdapter.java,MODIFY
75613eac00b3a41f83ff8fb0ac865b3204a22756,Federico Iosue,Federico Iosue,libs/android-support-v4.jar,DELETE
75613eac00b3a41f83ff8fb0ac865b3204a22756,Federico Iosue,Federico Iosue,res/drawable-hdpi/ic_action_discard.png,ADD
75613eac00b3a41f83ff8fb0ac865b3204a22756,Federico Iosue,Federico Iosue,res/drawable-hdpi/ic_action_new.png,ADD
75613eac00b3a41f83ff8fb0ac865b3204a22756,Federico Iosue,Federico Iosue,res/drawable-hdpi/ic_action_share.png,ADD
